article number,headline,webPublicationDate,text,snippet,section,source,week
1269,"Among French Muslims, a Growing Feeling ‘That We Are All Suspected’",10/29/20," At age 42, Mehdy Belabbas embodied the French republican promise of upward social mobility: the son of a Muslim construction worker of Algerian descent, he was the first in his family to attend graduate school and served for 12 years as the deputy mayor of the working-class city where he grew up.",French officials’ attack on “Islamic separatism” and the “enemy within” has Muslims questioning whether they will ever fully be accepted.,Foreign,NYT,4
1270,"As Cases Leap, Chastened Dutch Wonder, ‘What Happened to Us?’",10/29/20," As coronavirus cases have shot through the roof, waiting times for tests and results have grown so lengthy that the health authorities have considered sending samples to labs in Abu Dhabi. Contact tracing, divided among 25 competing contractors, has never gotten off the ground.","They have long prided themselves on an efficient government, some say to the point of smugness. Ranking high in the rate of daily infections is forcing a reckoning.",Foreign,NYT,4
1271,"As the West Stumbles, ‘Helmsman’ Xi Pushes an Ambitious Plan",10/29/20,"The United States is embroiled in a bitter presidential race and a surge in coronavirus infections. Europe is locking down again. In Beijing, by contrast, Xi Jinping is exuding confidence that he and China can emerge from the pandemic stronger and unbowed.","China’s leader emerged from a key Communist Party meeting newly emboldened, outlining a road map for the country for years to come. Some have warned of overreach.",Foreign,NYT,4
1272,North Carolina Survey Gives Democrats Edge,10/29/20,"Joseph R. Biden Jr. holds a small but durable lead over President Trump in North Carolina, where fully 64 percent of likely voters say they have already cast their ballots, according to a New York Times/Siena College poll released on Thursday.","Joe Biden and Cal Cunningham both led their Republican rivals by three points, a Times/Siena College survey found. Perhaps most notably, 64 percent of respondents said they had already voted.",Politics,NYT,4
1273,Trump Allies Try to Curb Early Pennsylvania Votes,10/29/20," President Trump’s campaign in the crucial battleground of Pennsylvania is pursuing a three-pronged strategy that would effectively suppress mail-in votes in the state, moving to stop the processing of absentee votes before Election Day, pushing to limit how late mail-in ballots can be accepted and intimidating Pennsylvanians trying to vote early.","Trailing in the polls, President Trump and his campaign are pursuing a three-pronged strategy that would effectively suppress the mail-in vote in the critical state of Pennsylvania.",Politics,NYT,4
1274,South Korean Ex-President  Is Ordered Back to Prison,10/29/20, ​The Supreme Court of South Korea on Thursday upheld a 17-year prison term for ​former President Lee Myung-bak ​and ordered him sent back to prison.,The country’s Supreme Court upheld a 17-year sentence for Lee Myung-bak. He will be the second former leader of South Korea​ behind bars on corruption charges.,Foreign,NYT,4
1275,Free and Fair Vote in a Polarized Nation? Bolivia Shows How It’s Done,10/29/20,"In the last year, Bolivia’s democracy suffered as partisan clashes filled its streets and mistrust in government grew. And yet it pulled off a calm, uncontested election. What can it teach other democracies under siege?","In the last year, Bolivia’s democracy suffered as partisan clashes filled its streets and mistrust in government grew. And yet it pulled off a calm, uncontested election. What can it teach other democracies under siege?",Foreign,NYT,4
1276,Who Has Biden’s Ear on Policy Issues? A Largely Familiar Inner Circle,10/29/20," Joseph R. Biden Jr., plotting an ambitious presidency that would begin amid twin health and economic crises, is leaning on veteran advisers with high-level governmental experience rather than outsiders and ideological rivals to help guide him on subjects including the coronavirus pandemic and the country’s diminished standing in the world.","Mr. Biden has sought advice across the Democratic Party’s ideological spectrum, but his core advisers on the coronavirus, economics, foreign policy and climate change are familiar figures.",Politics,NYT,4
1277,"As Deaths Soar in Wisconsin, Virus Is Political Dividing Line",10/29/20," When coronavirus cases began to spike in Wisconsin this fall, Rob Swearingen kept his restaurant open and let customers and employees decide whether they wanted to wear masks.",A lightly populated area in the critical swing state of Wisconsin serves as a microcosm for the way coronavirus politics is worsening partisan schisms across America.,Politics,NYT,4
1278,"Labour Party Suspends Corbyn, Its Ex-Leader, After Report on Anti-Semitism",10/29/20," Britain’s main opposition party, Labour, suspended its former leader Jeremy Corbyn on Thursday after he deflected blame for the party’s handling of anti-Semitism allegations, setting the stage for an extraordinary rupture with Labour’s recent past and another period of tortured infighting over its future.","A long-awaited official report strongly criticized Britain’s main opposition party, which Mr. Corbyn once led. His reply to the findings prompted his suspension.",Foreign,NYT,4
1279,2 Islamist Terror Attacks Strain French Relations With Muslims,10/29/20," A terror attack that killed three people in Nice on Thursday left France increasingly embattled at home and abroad, as the government called for toughening measures against Islamist extremism, amid rising tensions with Muslim nations.","A man with a knife killed three people at a church in Nice, in an assault that bore similarities to the recent killing of a schoolteacher, which has shaken the country.",Foreign,NYT,4
1280,‘We Have a Fight’: Big Stakes But Little Investment in Texas,10/29/20," When Senator Ted Cruz of Texas spoke with President Trump on the phone last week, he congratulated the president on his debate performance, nudged him to keep driving policy-oriented attacks against his opponent, Joseph R. Biden Jr., and relayed one more message.",A victory by the Democrats would herald the arrival of a formidable multiracial coalition in the country’s largest red state.,Politics,NYT,4
1281,"Road to White House Crosses Central Florida, for a Day at Least  ",10/29/20," That old political heartbreaker, the presidential battleground of Florida, lured the two White House contenders to the same city on Thursday, as President Trump and Joseph R. Biden Jr. confronted some of their biggest political vulnerabilities in a state that is once again shaping up as the most elusive prize in next week’s election.","The presidential rivals both appeared in Tampa, confronting their vulnerabilities and courting a range of voters, a clear sign that both see their political fortunes tied to the state.",Politics,NYT,4
1282,Typhoon Sets Off Deadly Landslides in Vietnam,10/29/20,"A typhoon that slammed into central Vietnam has set off a series of landslides that buried villages and towns, left more than 60 people dead or missing and compounded the misery of a country already struggling with catastrophic floods.","Already battling devastating floods, the country was hit by one of its biggest storms in decades.",Foreign,NYT,4
1283,"In Reversal From Spring, Schools Remain Open",10/29/20,Europe’s latest wave of restrictions to stop the spread of coronavirus have largely avoided closing schools. We take a look at why and how they are being kept open.,Europe’s latest wave of restrictions to stop the spread of coronavirus have largely avoided closing schools. We take a look at why and how they are being kept open.,Foreign,NYT,4
1284,I applied for around 90 jobs': unemployed and furloughed in a pandemic,10/29/20,"Hundreds of thousands of people in the UK have lost their jobs as the coronavirus pandemic pushes the rate of redundancies to record highs, and the number is expected to increase when the furlough scheme comes to an end this week. According to a new report, young people and those from ethnic minority backgrounds are disproportionately impacted by the redundancies, while many recent graduates are struggling to find employment. The Guardian spoke to some of those who have been affected by the upheaval in the jobs market.
‘You cannot sleep at night’ Roman Cristinel, 36, chef, London Chef Roman Cristinel was furloughed from his job at a central London hotel in March, and found out he was being made redundant at the start of this month. “It was horrible. You cannot sleep at night and you have chest pain,” he said. “It’s very unpleasant not being sure what you’re going to do next month, or if you’re going to be able to provide food for your family. I’m applying for jobs, but nobody is responding.” Cristinel estimates he has applied for 20 jobs since the start of October, but is concerned that hospitality roles are becoming scarce. He has applied for universal credit to help him pay his rent. “This is what I do and what I’ve been doing for a long time,” he said. “I have no experience doing different stuff. I’ve even applied for cleaning jobs, kitchen porter roles, and other things. But when you’re applying, there’s a few hundred people who have applied. “There’s a constant fear of what’s going to happen next, but you have to be positive and keep strong. Because if you let it, it destroys you.” ‘I might as well have paused my life’ Craig Wood, 31, construction worker, West Midlands “I feel like I’m back to square one,” said Craig Wood, who was made redundant in June after being furloughed. Three years ago, Wood retrained from his job in security to enter the construction industry, working a minimum wage job on a training course and attending college one day a week. “I worked my way up to a decent job and a decent salary, but I’ve got nothing now. It feels like I might as well have paused my life for three years. It was a waste of time,” he said. Wood has applied for around 60 jobs since he was made redundant, and has not received a single response. “I don’t really want to start working in warehouses overnight,” he said. “I’m not above doing it, but I don’t want to start on a minimum wage job after working my way up. There are people worse off but it’s been horrible.” ‘There’s no money for emergencies’ Melanie Hill, 50, telesales worker, Rhondda, south Wales In Rhondda, south Wales, Melanie Hill is unsure whether she will have a job to return to when furlough ends. “There are a lot of people out of work and I worry about the future,” she said. Hill works part-time in a telesales role for a small business and is a single mother to two sons, aged nine and 11. She has been furloughed since March, taking home £660 a month. “It’s hard enough to live on what I earn normally,” she said. “We forage for things and Lidl has a bargain box of vegetables available early in the morning which I try and buy, but there’s no money for emergencies or treats for the children.” Hill feels “betrayed” by the government and feels more support is needed: “People will only put up with hunger and isolation for so long and all of this is disproportionately affecting ordinary people. “It’s a bit like people pushing a car up a hill. It’s fine when everyone’s helping but over time one by one they drop out and you’re left on your own. It’s a real struggle.” ‘Applying for work is like a full-time job’ Raabia Butt, 21, law graduate, London Many recent graduates have struggled to find a job as a result of the pandemic. One of those is law graduate Raabia Butt, who lives in London. “Me and my friends almost wish we were still in university, and not having to face what’s happening,” said Butt. “We wanted to stay under the cover of education.” Since she graduated in June, Butt has completed more than 200 applications. She has been invited to five interviews, but has been unable to secure a job. “At first I was quite strategic, applying for things that I’d like to do, but now I’m applying for anything. It’s like a full-time job,” she said. “At home I live with three other people with jobs, and it’s demoralising. I’m starting to realise it’s looking quite dim for employment, and I’m thinking about a masters to refine my skills to help.”
‘It was devastating’ Phoebe Rodwell, 23, Manchester Phoebe Rodwell was furloughed and later made redundant from her job in the events industry. “It was awful, I felt like I’d spent a long time getting into a career I really want to do,” she said. “My boss said that if they could keep me on, they would. I understood, but it was devastating. “I applied for around 90 jobs, had two rejections and no other responses. I thought, I just can’t keep doing this, so decided I’d apply for university.” Now Rodwell is at the University of Salford studying criminology and counselling, and hopes to do freelance work in the events sector. “At the end of my three years, either I’ve kept my foot in the door enough with festivals to go back to that, or I completely change industry,” she said. “I chose my degree because it was interesting, but also a solid back-up so I can go and work in a different sector, because I don’t feel safe any more.”",,Foreign,Guardian,4
1285,What made him come there?': Lukashenko's surprise meeting with his critics,10/29/20,"The participants had printed name cards set out in front of them, there was a flower arrangement in the centre of the table, and the discussion topic was political reforms that might improve the country. There was one unusual detail about the discussion held in Minsk this month: 12 people around the table were political prisoners, and the 13th was Alexander Lukashenko, the man who had put them behind bars. Facing a broad, sustained protest against the continuation of his 26-year rule, Lukashenko had previously said he would not give up power “even if dead” and threatened his opponents with all manner of reprisals. Now, it seemed, he wanted to talk. Liliya Vlasova, a 67-year-old lawyer and mediator who was arrested on tax evasion charges in late August, soon after being elected to the leadership body of an opposition council seeking a transfer of power, could not believe her eyes when she saw the familiar face. “I thought it was a body double at first – I didn’t think it was possible. But after five minutes I realised it was the real Lukashenko,” she said. She had been woken in her cell at 6am, driven to KGB headquarters and held in an office there for four hours. Eventually she was led to a room where she saw other political prisoners including Viktor Babariko and Sergei Tikhanovsky, who had wanted to run in the August presidential election but were jailed. The group greeted each other and wondered out loud what the occasion for the strange gathering could possibly be. Perhaps, someone suggested, they would be forced to make televised confessions. Then Lukashenko walked in. The next four and a half hours were “more of a monologue” than a dialogue, said Vlasova, though there was a heated and angry exchange between Tikhanovsky and Lukashenko. The prisoner was furious about his detention, while Lukashenko was offended that Tikhanovsky had called him a “cockroach” in YouTube videos this year. There was no water to drink and no option to use the toilet. “What made him come there? I still don’t understand,” said Vlasova. Western diplomats were also surprised by the move, with some wondering whether Lukashenko’s backers in Moscow, alarmed at the level of discontent, had demanded he try to reach out to the opposition and reach some kind of compromise. “Lukashenko told us he wants dialogue on constitutional reform, and he promised that this would be his last term in office,” said Yuri Voskresensky, a businessman and political scientist who was part of the Babariko campaign. “I was sitting next to him and my intuition was that he was telling the truth.”
Voskresensky was released soon after the meeting and tasked by Lukashenko with serving as an intermediary between the two sides, though charges of organising mass disturbances are still hanging over him. He said Lukashenko’s offer should be taken seriously, even if the optics of negotiating with your jailer were strange, and said he would hold a meeting next week of opposition supporters who want to take part in drafting ideas to present to Lukashenko. “We are not western Europe, where people were already democratic 500 years ago. I could be upset that I was kept in jail for two months, but we have the chance to democratise and we should take it,” he said. Few other opposition figures appear minded to go along with him, rubbishing the gambit as meaningless. After the violence and arrests of the past two months, they say, the only acceptable outcome now is a transfer of power. Vlasova was released a few days after the discussion, back to the comfort of her home, where the living room is filled with vases of flowers from wellwishers. Tax evasion charges against her and her son, which she described as “completely fabricated”, have not been dropped, and her son’s business has been destroyed. Although she was not subjected to physical violence, the six weeks she spent behind bars was trying in the extreme. She was held in a 10-person cell with no fresh air or daylight, with eight cellmates who frequently smoked. There were long interrogations, usually in the evening, and threats that if she did not confess she would be sent to sew army uniforms in prison. “I had panic attacks, I couldn’t sleep at night, my heart was seizing up from fear,” she said. Just at the moment when she had made peace with the fact that she could be in prison for years, the surprise discussion took place. Lukashenko came to the meeting with one aide and his teenage son Nikolai, who in the past has accompanied the president to meetings with world leaders, has appeared dressed in full military uniform, and was even seen brandishing a gun one Sunday in August when Lukashenko decided to fly over the protesters in a helicopter. Nikolai sat through the meeting silently, said Voskresensky, though at one point his father sent him to fetch aerial photographs of protests, which Lukashenko showed to those at the meeting to “prove” the small numbers of people involved. After the meeting, Tikhanovsky was allowed to speak to his wife, Svetlana Tikhanovskaya, for the first time in more than four months. Tikhanovskaya ran in the election as a unified opposition candidate and fled to Lithuania after the vote, from where she has said she is ready to head a transitional government before new elections. She said after the call that she did not believe in “dialogue at gunpoint”, and promptly announced a “people’s ultimatum” demanding that Lukashenko leave by last Sunday. In the wake of the deadline passing, a new wave of protests and strikes has begun, prompting another crackdown that hardly suggests the regime is ready for real compromise. On Tuesday Lukashenko suggested students who were striking as a result of Tikhanovskaya’s ultimatum should be “sent to the street, or to the army”, while his interior minister, Yuri Karayev, said this week that the police were “at war” and should not hesitate to use violence against protesters.
“My work now is to make it clear to every local police officer that your life, the future of your children and the happiness of your wife depends on how quickly and decisively you grab your weapon and realise that you are being killed and you are still trying to use persuasion,” said Karayev, in a grim-faced and threatening video address that bore little resemblance to reality. In fact, almost all of the violence so far has come from the side of the authorities. Karayev was removed as interior minister on Thursday; it was unclear for what reason. Part of the problem is that Lukashenko, like many authoritarian leaders, appears to be fully convinced that without him the country would fall apart. “I built this country, and if I got something wrong, it’s because you people didn’t support me, you only criticised,” said Voskresensky, paraphrasing the president’s message at the KGB roundtable. “He is fully convinced that he is the messiah in this country, and that without him we would not exist,” said Vlasova. At the end of the meeting, Lukashenko thanked those present and said he would be happy to invite them to his palace “to continue the discussion”. The next day the men were taken to a bathhouse, where they were able to steam, chat and eat from a table laid with snacks. Then most of them went back to prison. Vlasova is now at liberty, but has a court case hanging over her. Her family are begging her to step away from active politics, and she is still recovering from her prison ordeal. “If I try to concentrate on anything, I either start crying or get headaches,” she said. On the other hand, her time in prison has made her more convinced of the need for political change. “I now have a clear understanding that our regime is not just authoritarian, it’s absolutely inhumane … The process of turning us into one big gulag is under way,” she said. This week she spent a day writing a letter to Maria Kolesnikova, a fellow member of the opposition’s coordination council and the most visible leader during the August protests. She remains in prison. Vlasova became teary as she described the contents of the letter. “I wrote that millions of people are fighting for her, that she’s the pride and strength of our country,” she said. “I told her she’s stronger than they are, and that eventually we will win.”",,Foreign,Guardian,4
